episode_id,symbol,cik,name,sector,included_in_quality_universe,first_observed_month,last_observed_month,episode_start,episode_end,months_observed,legacy,legacy_class,current_symbols_for_cik,current_ciks_for_symbol,yahoo_symbol,download_error,raw_history_available,first_price_date,last_price_date,warmup_sessions,indicator_warmup_ready,expected_sessions,observed_sessions,session_coverage,terminal_price_present,short_episode_probe,passes
COG|0000858470|1|2015-10|1,COG,0000858470,Cabot Oil & Gas,Energy,True,2015-10,2021-09,2015-10-31,2021-09-30,72,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],COG,EMPTY_DOWNLOAD,False,,,0,False,1489,0,0.0,False,False,False
COH|0001116132|1|2015-10|1,COH,0001116132,Coach Inc.,Consumer Discretionary,True,2015-10,2017-09,2015-10-31,2017-09-30,24,True,TICKER_OR_SHARE_CLASS_CHANGED,['TPR'],[],COH,EMPTY_DOWNLOAD,False,,,0,False,482,0,0.0,False,False,False
COL|0001137411|1|2015-10|1,COL,0001137411,Rockwell Collins,Industrials,True,2015-10,2018-11,2015-10-31,2018-11-30,38,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],COL,,True,2014-09-26,2019-01-09,271,True,777,762,0.9806949806949807,True,False,True
COTY|0001024305|1|2016-09|1,COTY,0001024305,"Coty, Inc",Consumer Staples,True,2016-09,2020-09,2016-09-30,2020-09-30,49,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],COTY,,True,2015-08-27,2020-11-09,276,True,1007,1007,1.0,True,False,True
CPB|0000016732|1|2015-10|1,CPB,0000016732,Campbell's Company (The),Consumer Staples,True,2015-10,2026-05,2015-10-31,2026-05-31,128,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CPB,,True,2014-09-26,2026-07-10,277,True,2658,2658,1.0,True,False,True
CPGX|0001629995|1|2015-10|1,CPGX,0001629995,Columbia Pipeline Group Inc,Energy,True,2015-10,2016-06,2015-10-31,2016-06-30,9,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CPGX,EMPTY_DOWNLOAD,False,,,0,False,167,0,0.0,False,False,False
CPRI|0001530721|1|2019-01|1,CPRI,0001530721,Capri Holdings,Consumer Discretionary,True,2019-01,2020-04,2019-01-31,2020-04-30,16,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CPRI,,True,2017-12-27,2020-06-09,274,True,315,315,1.0,True,False,True
CSC|0000023082|1|2015-10|1,CSC,0000023082,Computer Sciences Corp.,Information Technology,True,2015-10,2015-11,2015-10-31,2015-11-30,2,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CSC,EMPTY_DOWNLOAD,False,,,0,False,20,0,0.0,False,False,False
CSRA|0001646383|1|2015-12|1,CSRA,0001646383,CSRA Inc.,Information Technology,True,2015-12,2018-03,2015-12-31,2018-03-31,28,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CSRA,,True,2015-11-16,2018-04-03,31,False,565,565,1.0,True,False,True
CTL|0000018926|1|2015-10|1,CTL,0000018926,CenturyLink Inc,Communication Services,True,2015-10,2020-08,2015-10-31,2020-08-31,59,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CTL,EMPTY_DOWNLOAD,False,,,0,False,1216,0,0.0,False,False,False
CTLT|0001596783|1|2020-10|1,CTLT,0001596783,Catalent,Health Care,True,2020-10,2024-11,2020-10-31,2024-11-30,50,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CTLT,EMPTY_DOWNLOAD,False,,,0,False,1026,0,0.0,False,False,False
CTRA|0000858470|1|2021-10|1,CTRA,0000858470,Coterra,Energy,True,2021-10,2026-04,2021-10-31,2026-04-30,55,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CTRA,EMPTY_DOWNLOAD,False,,,0,False,1128,0,0.0,False,False,False
CTXS|0000877890|1|2015-10|1,CTXS,0000877890,Citrix,Information Technology,True,2015-10,2022-09,2015-10-31,2022-09-30,84,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CTXS,EMPTY_DOWNLOAD,False,,,0,False,1741,0,0.0,False,False,False
CVC|0001053112|1|2015-10|1,CVC,0001053112,Cablevision Systems Corp.,Consumer Discretionary,True,2015-10,2016-05,2015-10-31,2016-05-31,8,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CVC,EMPTY_DOWNLOAD,False,,,0,False,145,0,0.0,False,False,False
CXO|0001358071|1|2016-02|1,CXO,0001358071,Concho Resources,Energy,True,2016-02,2020-12,2016-02-29,2020-12-31,59,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CXO,EMPTY_DOWNLOAD,False,,,0,False,1221,0,0.0,False,False,False
CZR|0001590895|1|2021-03|1,CZR,0001590895,Caesars Entertainment,Consumer Discretionary,True,2021-03,2025-08,2021-03-31,2025-08-31,54,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CZR,,True,2020-02-25,2025-10-10,277,True,1110,1110,1.0,True,False,True
DAY|0001725057|1|2024-02|1,DAY,0001725057,Dayforce,Industrials,True,2024-02,2026-01,2024-02-29,2026-01-31,24,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],DAY,EMPTY_DOWNLOAD,False,,,0,False,482,0,0.0,False,False,False
DD|0000030554|1|2015-10|1,DD,0000030554,Du Pont (E.I.),Materials,True,2015-10,2017-08,2015-10-31,2017-08-31,23,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0001666700'],DD,,True,2014-09-26,2017-10-10,277,True,462,462,1.0,True,False,True
DFS|0001393612|0|2015-10|1,DFS,0001393612,Discover Financial,Financials,False,2015-10,2025-04,2015-10-31,2025-04-30,115,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],DFS,EMPTY_DOWNLOAD,False,,,0,False,2387,0,0.0,False,False,False
DIS|0001001039|1|2015-10|1,DIS,0001001039,The Walt Disney Company,Communication Services,True,2015-10,2020-08,2015-10-31,2020-08-31,59,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0001744489'],DIS,,True,2014-09-26,2020-10-09,277,True,1216,1216,1.0,True,False,True
DISCA|0001437107|1|2015-10|1,DISCA,0001437107,Discovery (Series A),Communication Services,True,2015-10,2022-03,2015-10-31,2022-03-31,78,True,TICKER_OR_SHARE_CLASS_CHANGED,['WBD'],[],DISCA,EMPTY_DOWNLOAD,False,,,0,False,1615,0,0.0,False,False,False
DISCK|0001437107|1|2015-10|1,DISCK,0001437107,Discovery (Series C),Communication Services,True,2015-10,2022-03,2015-10-31,2022-03-31,78,True,TICKER_OR_SHARE_CLASS_CHANGED,['WBD'],[],DISCK,EMPTY_DOWNLOAD,False,,,0,False,1615,0,0.0,False,False,False
